[ Model
, Type of device
, Brand
, Release year
, Operating System
, OS version
, Kernel
, UI and version
, Comment
],
 | Smartphone, | Nokia, | 2005, | Symbian OS, | 8.1a, | [[EKA1]], | S60 2nd Edition Feature Pack 3 version 2.8, | ,
 | Smartphone, | Nokia, | 2006, | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | 2006, | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | 2006, | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | 2006, | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | 2007, | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | 2007, | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Nokia, | 2007, | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Nokia, | 2008, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, | 2009, | Symbian^1, | 9.4, | EKA2, | S60 5th Edition version 5, | ,
 | Smartphone, | Nokia, | 2009, | Symbian^1, | 9.4, | EKA2, | S60 5th Edition version 5, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, | 2009, | Symbian^1, | 9.4, | EKA2, | S60 5th Edition version 5, | First S60 capacative touchscreen,
 | Smartphone and game console, | Nokia, | , | Symbian OS, | 6.1, | , | S60 1st Edition Feature Pack 1 version 1.2, | ,
 | Smartphone and game console, | Nokia, | , | Symbian OS, | 6.1, | , | S60 1st Edition Feature Pack 1 version 1.2, | ,
 | Smartphone, | Panasonic, | , | Symbian OS, | 7.0s, | , | S60 2nd Edition version 2, | ,
 | Smartphone, | Panasonic, | , | Symbian OS, | 7.0s, | , | S60 2nd Edition version 2, | ,
 | Smartphone, | Samsung, | 2009, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Samsung, | 2008, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Samsung, | 2009, | Symbian^1, | 9.4, | EKA2, | S60 5th Edition version 5, | ,
 | Smartphone, | Samsung, | 2005, | Symbian OS, | 7.0s, | , | S60 2nd Edition version 2, | ,
 | Smartphone, | Samsung, | 2005, | Symbian OS, | 7.0s, | , | S60 2nd Edition version 2, | ,
 | Smartphone, | Samsung, | 2005, | Symbian OS, | 7.0s, | , | S60 2nd Edition version 2, | ,
 | Smartphone, | Samsung, | 2008, | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Samsung, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Samsung, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Samsung, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Samsung, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Samsung, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Samsung, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Samsung, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Samsung, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
