Brand,Model name,Sensor size,Effective megapixels,Lens mount,(% of the frame)Viewfinder coverage,Metering zones,Focus points,Lowest ISO,Highest ISO,data-sort-type=number (sensor) overall scoreDxO score,Noise levels: what is the highest ISO level that still gives a specific print quality?DxO ISO,(fps)Cont. shtg,(inch)LCD size,Live view,Movie mode,storageMemory card,Video,(W x H x D)Dimensions (mm),Weight (g),Announced (date),Reference
,Olympus,E-30,Four Thirds,12.3,MFT,98,49,11,100,3200,55,530,5,2.7,yes,no,"CF, xD",,142x116x75,730,Feb 2009,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Olympus/E30][http://www.olympusamerica.com/cpg_section/product.asp?product=1430 ;page=specs]
,Olympus,E-620,Four Thirds,12.3,MFT,95,49,7,100,3200,55,536,4,2.7,yes,no,"CF, xD",,130x94x60,475 (without battery),Feb 2009,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Olympus/E620][http://www.olympusamerica.com/cpg_section/product.asp?product=1452 ;page=specs]
,Pentax,645D,Medium format,39.5,Pentax 645,98,77,11,100,1600,82,1262,1,3,no,no,SDXC (2x),,156x117x119,1400,Mar 2010,[https://www.dxomark.com/Cameras/Pentax/645D][http://www.ricoh-imaging.co.jp/english/products/645d/feature.html]
Pentax,645Z,Medium format,39.5,Pentax 645,98,86000,27,100,204800," data-sort-value=""101""  101",4505,3," 3,2",yes,yes,SDXC (2x),,156x117x123,1550,Apr 2014,[https://www.dxomark.com/Cameras/Pentax/645Z][http://www.ricoh-imaging.co.jp/english/products/645z/]
,Pentax,K-1,Full frame,36.3,K mount,100,86000,33,80,204800,96,3280,4.4,3.2,yes,yes,SDXC (2x),1080p30," 136,5x110x85,5",750,Sep 2016,[https://www.dxomark.com/Cameras/Pentax/K-1][http://www.ricoh-imaging.co.jp/english/products/k-1/]
,Pentax,K-5,APS-C,16.3,K mount,100,77,11,80,51200,82,1162,7,3,yes,yes,SDXC,,131x97x73,750,Sep 2010,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/K5][https://web.archive.org/web/20101206023448/http://www.pentaximaging.com/slr/K-5/]
,Pentax,K-7,APS-C,14.6,K mount,100,77,11,100,6400,61,536,5.2,3,yes,yes,SD,,131x97x73,750,May 2009,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/K7][https://web.archive.org/web/20101005031916/http://www.pentaximaging.com/slr/K-7]
,Pentax,K-50,APS-C,16.3,K mount,100,77,11,100,51200,79,1120,6,3,yes,yes,SDXC,,130x97x71,650,June 2013,[http://www.dxomark.com/Cameras/Pentax/K-50][http://www.dpreview.com/products/pentax/slrs/pentax_k50/specifications]
,Pentax,K-500,APS-C,16.3,K mount,100,77,11,100,51200,79,1087,6,3,yes,yes,SDXC,,130x97x71,646,June 2013,[http://www.dxomark.com/Cameras/Pentax/K-500][http://www.dpreview.com/products/pentax/slrs/pentax_k500/specifications]
,Pentax,K-30,APS-C,16.3,K mount,100,77,11,100,25600,79,1129,6,3,yes,yes,SDXC,,131x97x73,649,May 2012,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/K-30][https://web.archive.org/web/20130320095124/http://www.pentaximaging.com/dslr/K-30_Black]
,Pentax,K-r,APS-C,12.4,K mount,96,16,11,100,25600,72,755,6.0,3.0,yes,yes,SD,,122x91x67,515 (without battery),Sep 2010,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/Kr][https://web.archive.org/web/20111009101240/http://www.pentaximaging.com/slr/K-r_Black/]
,Pentax,K-x,APS-C,12.4,K mount,96,16,11,100,12800,72,811,4.7,2.7,yes,yes,SD,,122x91x67,580,Sep 2009,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/Kx][https://web.archive.org/web/20101205153112/http://www.pentaximaging.com/slr/K-x_Black/]
,Pentax,K20D,APS-C,14.6,K mount,96,16,11,100,6400,65,639,3,2.7,yes,,SD,,141.5×101×70,800,Jan 2008,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/K20D]
,Sigma,SD1 Merrill,APS-C,15.4 x 3,SA mount,96,77,11,100,6400,N/A,N/A,6,3,no,no,CF,,146x113x80,790,Feb 2012,[https://web.archive.org/web/20140820100234/http://www.sigmaphoto.com/product/sd1-merrill-digital-slr-camera-0][http://www.dpreview.com/reviews/sigmasd1/2]
,Sony,Alpha 900,Full frame,24.6,Sony α/Minolta A,100,40,9,100,6400,79,1431,5,3,no,no,"CF, MS",,156x117x82,895,Sep 2008,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Sony/Alpha-900] [http://www.sony.co.uk/product/dsd-body/dslr-a900#pageType=TechnicalSpecs]
,Sony,Alpha 850,Full frame,24.6,Sony α/Minolta A,98,40,9,100,6400,79,1415,3,3,no,no,"CF, MS",,156x117x82,895,Aug 2009,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Sony/Alpha-850][http://www.sony.co.uk/product/dsd-body/dslr-a850#pageType=TechnicalSpecs]
,Sony,Alpha 580,APS-C,16.2,Sony α/Minolta A,95,,15,100,12800,80,1121,7,3,yes,yes," SD, MS",,137x104x84,599 (without battery),Aug 2010,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Sony/Alpha-580]
" class=""sortbottom""",Brand,Model name,Sensor size,Effective megapixels,Lens mount,Viewfinder coverage (% of the frame),Metering zones,Focus points,Lowest ISO,Highest ISO,DxOMark sensor score,DxO ISO perfor- mance,Cont. shtg (fps),LCD size (in),Live view,Movie mode,Memory card type,,Dimensions (mm),Weight (g),Announced (date),Reference
