Vehicle,Origin,Manufacturer,Mass to ... (kg),,,Launches (+ suborbital),Date of flight,
,,,Low Earth orbit,Geostationary transfer orbit,List of orbits,,First,Last
Delta II 6925,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,McDonnell Douglas,," 1,447[204] ",,14[204],1989,1992
Delta II 7320,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Boeing IDS / Boeing IDS," 2,865[204] ",," 1,651 to SSO ",12[204],1999,2015
Delta II 7326,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Boeing IDS,,934[204],636 to TLI 629 to HCO,3[204],1998,2001
Delta II 7420,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 3,185[204] ",," 1,966 to SSO ",14[204],1998,2018
Delta II 7425,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Boeing IDS,," 1,100[204] ",804 to HCO,4[204],1998,2002
Delta II 7426,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Boeing IDS,," 1,058[204] ",734 to TLI 711 to HCO,1[204],1999,1999
Delta II 7920,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Boeing IDS / Boeing IDS," 5,030[204] ",," 3,123 to SSO ",29[204],1998,2017
Delta II 7925,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Boeing IDS / Boeing IDS,," 1,819[204] "," 1,177 to TLI 1,265 to HCO ",69[204],1990,2009
Delta II 7920H,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Boeing IDS / Boeing IDS," 6,097[204] ",,,3[204],2003,2011
Delta II 7925H,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Boeing IDS / Boeing IDS,," 2,171 "," 1,508 to HCO[204] ",3[204],2003,2007
Delta III 8930,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Boeing IDS," 8,292[204] "," 3,810 ",,3[204],1998,2000
Delta IV M,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Boeing IDS," 9,440[27] "," 4,440 "," 7,690 to polar ",3[28],2003,2006
" Delta IV M+(4,2) ",//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 13,140[27] "," 6,390 "," 10,250 to polar ",14[28],2002,2019
" Delta IV M+(5,2) ",//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 11,470[27] "," 5,490 "," 9,600 to polar ",3[28],2012,2018
" Delta IV M+(5,4) ",//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 14,140[27] "," 7,300 "," 11,600 to polar ",8[28],2009,2019
Diamant,//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png France,SEREB,107[218][219],,,12,1965,1975
Dnepr (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhmash," 3,700[220] ",,,22[220],1999,2015[221]
EnergiaEnergia,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,NPO Energia," 100,000[222] ",," 20,000 to Geostationary orbitGeostationary orbit 32,000 to TLIGeostationary orbit ",1 (failed to orbit)[223],1987,1987
Energia-Energia,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,NPO Energia (NPO Energia) NPO Energia (NPO Energia)," 30,000[222][c] ",,,1,1988,1988
Falcon 1,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX,470[224],,,5[224],2006,2009
Falcon 9 v1.0,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX," 10,450[225] "," 4,540[225] ",,5[226],2010,2013
Falcon 9 v1.1,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX," 13,150[227][d] "," 4,850[227] ",,15[226],2013,2016
Feng Bao 1,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Shanghai Academy of Spaceflight Technology," 2,500[228] ",,,8 (+3)[229],1972,1981
