Resort name and website, Nearest city, State/province, Peak elevation (ft), Base elevation (ft), Vertical drop (ft), Skiable acreage, Total trails, Total lifts, Avg annual snowfall (in), Adult weekend lift ticket window price (USD), Date statistics updated
Chapman Ski Hill, Durango, Colorado, 7297, 6522, 775, 7, 1, 2, 71, $15, June 21 2020[432]
Lee's Ski Hill, Ouray, Colorado, 7867, 7792, 75, 2, 1, 1, 134, Free, June 21 2020[433]
Whitewater Ski Resort, Nelson, British Columbia, 6709, 4665, 2044, 1180, 46, 4, 472, , 
Kimberley Alpine Resort, Kimberley, British Columbia, , , 2464, 1800, , , 160, , 
Nakiska, Kananaskis, Alberta, 7415, 5003, 2412, 1021, 79, 6, 100, , 
Salmo Ski Area, Salmo, British Columbia, , , 1120, , , , 120, , 
Sasquatch Mountain, Chehalis, British Columbia, , , 1100, 300, , , , , 
Mount Washington Alpine Resort, Courtenay, British Columbia, , , 1663, 1700, , , 432, , 
Manning Park, Manning Park, British Columbia, , , 1417, 140, , , 296, , 
Mount Baldy Ski Area, Oliver, British Columbia, , , 1293, 600, , , 256, , 
Harper Mountain, Kamloops, British Columbia, , , 1400, 400, , , 156, , 
