Vehicle,Origin,Manufacturer,Payload mass to ... (kg),,,Launches[note 5],Date of flight,
,,,Low Earth orbit,Geostationary transfer orbit,Other,,First[note 6],Latest
Long March 7,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 13,500[88] ",," 5,500 to SSO ",2,2016[89],2017
Long March 8   (partially reusable)Long March 8,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 7,600[91] "," 2,500 "," 4,500 to SSO ",0,2021[90],
Long March 9Long March 9,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 140,000[93] "," 66,000[94] "," 50,000 to TLI[93]   44,000 to TMI[90] ",0,2028[95]–2030[90],
Long March 11,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology,700[96],,350 to SSO,8[97],2015,2019
Minotaur I,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,NG Innovation,580[98],,,10[99],2000,2013
Minotaur IV,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,NG Innovation," 1,735[100] ",,,4[101],2010,2017
Minotaur V,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,NG Innovation,,670[101],465 to HCO,1[101],2013,2013
Minotaur-C (Taurus)Minotaur-C,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,NG Innovation," 1,458[103] ",," 1,054 to SSO[note 20] ",10[104],1994,2017
PLD Space,//upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/23px-Flag_of_Spain.svg.png Spain,PLD Space,300[105],,,0,2021[105],
New Glenn,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Blue Origin," 45,000[106] "," 13,000 ",,0,2021[107],
New Line 1   (partially reusable)New Line 1,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,LinkSpace,,,200 to SSO[108],0,2020[108],
Nuri (KSLV-2),//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/23px-Flag_of_South_Korea.svg.png South Korea,Korea Aerospace Research Institute," 1,500 at 600–800 km[109] ",,,0,2021[109][note 21],
Omega (rocket),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,NG Innovation," 22,000[110] "," 9,200[110] "," 3,200 to GEO[110] ",0,2021[111]
Omega (rocket),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,NG Innovation," 23,200[110] "," 14,000[110] "," 6,700 to GEO[110] ",0,2021[111],
OneSpace,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,OneSpace,205[112],,143 to SSO,1,2019[113][note 22],2019
OneSpace,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,OneSpace,390[112],,292 to SSO,0,TBA,
Pegasus (rocket),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,NG Innovation,500[115],,,44[115][116],1990,2019
Orbex,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png United Kingdom,Orbex,220[117],,150 to SSO[note 8][118],0,2021[118],
Proton-M / M+,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,Khrunichev State Research and Production Space Center," 23,000 (M+)[119]   21,600 (M)[120] "," 6,920 (M+)   6,150 (M) ",,108[121][122][123],2001,2019
PSLV-CA,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Indian Space Research Organisation," 2,100[124] ",," 1,100 to SSO ",14[124],2007,2019
PSLV-DL,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Indian Space Research Organisation,,,,1[124],2019,2019
PSLV-QL,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Indian Space Research Organisation,,,,1[124],2019,2019
